,X,gwb_code_10,gm_naam,recs,ind_wbi,Number.of.inhabitants,Number.of.man,NonDutch.EU,NonDutch.NonEU,Number.of.people.from.Marocco,Number.of.people.from.Dutch.territories,Number.of.people.from.Surinaam,Number.of.people.from.Turkey,Number.of.other.nonEU.people,Number.of.households,Number.of.1.person.household,Average.household.size,percent.of.multifamily.housing,percentage.of.occupied,percentage.of.empty,n_low_educated,p_employees,p_self_employed,avg_income_per_recipient,avg_income_per_capital,p_belong_40p_w_lowest_income,p_belong_20p_w_highest_income,avg_standardized_income_household,p_household_lowest_40p_income,p_household_highest_20p_income,p_low_income_household,p_household_smaller_bare_social_minimum,p_household_upto_110p_social_minimum,p_househould_upto_120p_social_minimum,median_wealth_private_house,n_pp_w_assitance,n_pp_w_AO,n_pp_w_WW,n_pp_w_state_pension,ChangeInDistrictOrNeighbourhood_4,DistanceToGPPractice_5,Within1Km_6,Within3Km_7,Within5Km_8,DistanceToGPPost_9,DistanceToPharmacy_10,DistanceToHospital_11,Within5Km_12,Within10Km_13,Within20Km_14,DistanceToHospital_15,Within5Km_16,Within10Km_17,Within20Km_18,DistanceToLargeSupermarket_24,Within1Km_25,Within3Km_26,Within5Km_27,DistanceToShopForOtherDailyFood_28,Within1Km_29,Within3Km_30,Within5Km_31,DistanceToDepartmentStore_32,Within5Km_33,Within10Km_34,Within20Km_35,DistanceToCafeEtc_36,Within1Km_37,Within3Km_38,Within5Km_39,DistanceToCafeteriaEtc_40,Within1Km_41,Within3Km_42,Within5Km_43,DistanceToRestaurant_44,Within1Km_45,Within3Km_46,Within5Km_47,DistanceToHotelEtc_48,Within5Km_49,Within105km_50,Within20Km_51,DistanceToDaycareCentres_52,Within1Km_53,Within3Km_54,Within5Km_55,DistanceToOutOfSchoolCare_56,Within1Km_57,Within3Km_58,Within5Km_59,DistanceToSchool_60,Within1Km_61,Within3Km_62,Within5Km_63,DistanceToSchool_64,Within3Km_65,Within5Km_66,Within10Km_67,DistanceToSchool_68,Within3Km_69,Within5Km_70,Within10Km_71,DistanceToSchool_72,Within3Km_73,Within5Km_74,Within10Km_75,DistanceToMainRoadEntrance_89,DistanceToTrainStationAllTypes_90,DistanceToImportantTransferStation_91,DistanceToLibrary_92,DistanceToSwimmingPool_93,DistanceToArtificialIceSkatingRink_94,DistanceToMuseum_95,Within5Km_96,Within10Km_97,Within20Km_98,DistanceToPerformingArts_99,Within5Km_100,Within10Km_101,Within20Km_102,DistanceToPopMusicVenue_103,DistanceToCinema_104,Within5Km_105,Within10Km_106,Within20Km_107,DistanceToSauna_108,DistanceToTanningSalon_109,DistanceToAttraction_110,Within10Km_111,Within20Km_112,Within50Km_113,DistanceToFireStation_114,code,year,livability_score
0,2,340101,Almere,Buurt,3,1580,740,190,410,30,55,120,15,185,880,490,1.6,97,88,12,420,84,16,30.3,26.3,43.9,13.3,29.5,58.8,6.1,11.2,12.7,16.7,21.1,8.4,90,80,20,560,3,0.4,2.0,2.0,3.2,5.9,0.6,5.9,0.0,2.0,4.0,5.9,0.0,1.0,2.0,0.3,2.0,5.0,6.5,0.2,16.0,19.0,21.2,0.5,1.0,2.0,9.2,0.4,2.0,7.0,9.8,0.1,8.0,12.0,17.2,0.1,19.2,22.0,30.9,4.8,0.7,9.0,20.0,0.9,0.7,11.0,22.8,1.2,0.1,13.0,24.0,0.9,1.1,7.0,13.1,0.4,1.0,2.1,13.0,0.4,1.0,2.1,10.0,0.4,1.0,1.9,8.0,2.9,5.4,6.1,0.4,5.1,22.2,12.0,0.0,0.0,9.0,5.6,0.0,2.0,7.2,5.8,5.8,0.0,1.0,3.9,2.7,0.4,2.4,4.0,7.0,50.0,4.6,340101,2021,4.113390678095648
1,3,340102,Almere,Buurt,3,2860,1375,280,750,165,75,195,35,275,1380,585,2.1,35,98,2,800,86,14,28.2,22.6,45.5,10.1,27.7,47.8,8.1,8.6,10.8,16.7,19.8,21.7,130,200,40,520,3,0.9,0.8,2.0,4.2,5.8,0.8,5.8,0.0,2.0,4.0,5.8,0.0,1.0,2.0,0.7,1.6,4.8,8.8,0.7,6.1,18.8,27.8,1.5,1.2,2.4,8.1,0.6,1.6,7.0,10.8,0.8,2.8,11.8,23.7,0.6,7.7,22.0,40.2,4.6,1.0,7.4,17.6,0.5,2.0,10.7,23.5,0.8,1.2,12.7,24.6,0.7,1.5,6.8,12.9,1.2,1.0,2.7,13.4,1.2,1.0,2.3,10.4,1.2,1.0,2.2,8.4,2.7,5.3,6.0,1.2,5.0,23.2,13.0,0.0,0.0,7.8,5.5,0.2,2.0,6.1,5.7,5.7,0.0,1.0,3.0,2.6,1.2,2.3,4.0,6.6,49.6,4.4,340102,2021,3.9659934675463697
2,16,340201,Almere,Buurt,3,4755,2470,710,2085,180,215,625,55,1015,2550,1400,1.7,99,95,5,900,88,12,36.7,30.8,34.2,21.4,30.3,50.3,8.9,9.5,9.0,12.9,15.9,7.4,210,270,70,680,3,0.4,1.2,8.5,14.4,0.8,0.7,0.8,1.0,2.0,4.0,0.8,1.0,1.0,2.0,0.3,8.0,16.0,25.3,0.2,23.6,41.6,54.5,0.6,1.0,3.0,7.0,0.3,9.8,15.6,20.7,0.1,44.1,63.9,80.6,0.2,44.5,84.5,105.9,0.3,5.9,7.0,14.6,0.7,3.1,45.7,94.5,0.8,1.8,42.5,85.9,0.7,1.5,24.5,41.7,0.9,6.5,7.8,17.0,0.9,4.9,5.8,14.0,1.2,3.5,4.1,10.0,2.2,0.7,0.7,0.6,1.6,24.3,14.2,0.0,0.0,6.0,0.4,2.0,2.0,5.1,0.5,0.7,1.0,1.0,3.0,2.0,0.5,3.8,4.0,6.0,46.8,1.2,340201,2021,4.035158413479313
3,17,340202,Almere,Buurt,3,10430,5080,1235,3450,350,235,1055,230,1580,4640,1620,2.2,32,98,2,2060,87,13,35.8,29.0,39.2,20.9,33.3,36.1,21.7,7.3,7.0,10.3,12.8,108.0,350,450,140,1220,3,1.2,0.6,4.9,13.7,1.9,1.2,1.9,1.0,2.0,3.6,1.9,1.0,1.0,1.6,0.8,1.1,13.3,23.7,0.7,2.4,30.5,53.1,1.9,1.0,3.0,8.3,1.7,1.2,10.9,20.0,0.5,5.5,51.6,79.9,0.5,5.8,59.6,99.2,1.2,5.2,7.0,15.0,0.4,4.0,34.6,80.5,0.4,4.9,34.0,73.9,0.6,1.8,16.1,38.0,0.9,4.5,8.4,17.0,0.9,3.9,6.8,14.0,0.9,2.6,4.4,10.0,2.0,2.1,2.1,1.9,3.1,25.3,15.2,0.0,0.0,6.7,2.2,2.0,2.0,5.7,2.2,2.0,1.0,1.0,3.0,3.3,1.3,3.8,4.0,5.9,45.0,1.4,340202,2021,4.0311529979573235
4,18,340203,Almere,Buurt,3,5710,2875,620,2345,260,180,810,180,915,2275,655,2.5,17,99,1,1410,89,11,32.6,25.6,38.7,17.8,31.8,30.5,20.3,5.4,5.4,7.5,9.1,104.6,120,250,70,420,3,1.6,0.0,4.1,10.0,3.3,1.6,3.3,1.0,2.0,3.6,3.3,1.0,1.0,1.6,0.5,1.0,5.2,22.0,0.5,1.0,7.8,50.8,3.2,1.9,3.0,8.8,3.1,0.0,0.9,17.7,1.3,0.1,14.6,81.8,1.1,0.7,16.5,90.2,1.1,5.6,7.0,15.0,0.4,4.7,29.6,68.2,0.4,4.6,30.1,61.0,0.5,2.1,12.1,32.2,1.1,3.0,7.3,17.0,1.1,3.0,6.3,14.0,1.1,2.0,3.4,10.0,1.3,2.5,3.5,3.3,4.4,26.0,16.0,0.0,0.0,7.0,3.6,2.0,2.0,6.0,3.6,3.3,1.0,1.0,3.0,4.5,2.6,3.1,4.0,5.2,44.2,1.6,340203,2021,3.966037294925503
5,19,340204,Almere,Buurt,1,5600,2695,585,1695,265,115,540,80,695,2220,560,2.5,19,99,1,940,87,13,36.9,29.7,38.5,22.4,35.2,30.6,29.2,5.1,5.5,8.5,10.1,110.2,120,240,60,780,1,0.7,0.8,5.6,13.6,2.3,0.7,2.3,1.0,2.0,3.0,2.3,1.0,1.0,1.0,0.6,1.0,13.4,26.8,0.6,1.7,30.2,64.3,2.3,2.0,3.0,8.0,2.1,0.0,9.9,18.2,0.6,1.8,54.8,91.4,0.7,1.9,57.5,106.9,1.9,5.0,7.0,14.4,0.3,6.3,36.4,80.6,0.4,6.3,35.5,72.9,0.4,3.5,15.4,38.5,1.0,4.6,8.5,17.0,1.0,3.9,7.0,14.0,1.0,2.3,4.5,10.0,2.2,2.3,2.5,2.3,3.6,26.2,16.2,0.0,0.0,6.5,2.6,2.0,2.0,5.7,2.6,2.5,1.0,1.0,3.0,3.6,1.6,3.3,4.0,5.0,43.4,2.5,340204,2021,3.88208138950289
6,20,340205,Almere,Buurt,1,3570,1770,415,1100,140,60,430,55,415,1440,370,2.5,19,99,1,730,89,11,38.3,30.6,34.2,24.7,35.7,27.2,28.6,4.1,4.2,6.9,8.3,128.8,70,160,40,330,1,0.9,0.8,5.9,14.1,2.3,0.9,2.3,1.0,2.0,3.0,2.3,1.0,1.0,1.0,0.6,1.5,14.2,27.7,0.6,2.4,31.3,64.0,2.5,2.0,3.0,6.2,2.1,0.0,9.4,18.0,0.7,2.2,56.1,92.7,0.6,2.4,60.9,109.3,2.3,5.0,7.0,13.9,0.4,2.8,36.3,83.4,0.4,4.0,35.0,76.6,0.8,1.1,16.8,40.7,1.3,4.4,8.1,17.0,1.3,3.4,7.0,14.0,1.3,2.3,4.1,10.0,1.7,1.6,2.3,2.5,3.7,26.5,16.5,0.0,0.0,5.4,2.6,2.0,2.0,4.7,2.6,2.7,1.0,1.0,3.0,3.1,1.6,3.9,4.0,5.0,41.5,2.7,340205,2021,3.862975982085106
7,38,340301,Almere,Buurt,3,2125,975,220,835,85,95,310,20,320,1170,650,1.7,85,95,5,470,90,10,28.9,24.3,44.1,10.3,26.1,62.7,4.5,11.6,13.0,20.3,24.6,3.5,130,170,30,450,3,1.0,0.5,6.2,11.0,5.9,1.2,5.9,0.0,1.0,2.0,5.9,0.0,1.0,1.0,0.2,5.0,10.2,16.4,0.2,17.0,24.2,31.6,0.5,1.0,2.0,3.0,1.5,0.0,3.0,4.0,0.2,14.8,32.5,43.0,0.3,10.1,25.7,39.9,5.8,0.0,5.8,9.2,0.3,4.0,31.7,61.5,0.2,3.5,31.4,57.6,0.8,2.0,14.1,26.3,1.2,3.4,5.7,12.0,1.2,3.4,5.7,10.0,1.2,2.0,2.7,6.0,2.1,0.4,5.9,0.5,0.5,30.1,20.1,0.0,0.0,0.9,6.2,0.0,2.0,2.0,6.2,6.3,0.0,1.0,1.0,5.9,0.6,2.8,4.0,4.0,40.6,1.5,340301,2021,3.989434018713551
8,39,340302,Almere,Buurt,3,5830,2960,620,2440,265,215,970,185,810,2170,555,2.7,11,98,2,1370,86,14,36.1,27.8,38.9,21.6,34.6,27.8,27.5,6.0,5.5,7.8,9.5,97.8,110,250,90,330,3,0.7,1.5,4.3,7.3,7.9,0.7,7.9,0.0,1.0,2.0,7.9,0.0,1.0,1.0,0.8,1.1,8.5,11.3,0.7,2.7,22.9,25.3,2.5,1.0,2.0,3.0,1.1,0.5,1.0,3.0,0.7,4.7,27.7,34.1,0.8,4.1,22.5,27.6,7.7,0.0,5.0,9.0,0.6,3.2,24.9,37.6,0.6,2.9,23.3,35.4,0.7,1.3,10.4,16.2,0.9,3.3,4.2,10.9,0.9,3.3,4.2,9.9,1.0,1.3,2.0,5.0,1.6,0.7,7.9,2.5,2.5,32.0,21.9,0.0,0.0,0.0,8.1,0.0,2.0,2.0,8.1,8.3,0.0,1.0,1.0,7.3,1.2,4.7,1.0,4.0,40.3,1.5,340302,2021,3.9774373465657846
9,40,340303,Almere,Buurt,3,5055,2525,585,1395,135,150,495,75,535,2010,505,2.5,10,99,1,970,86,14,36.3,28.5,35.7,22.7,34.3,27.6,25.1,5.5,5.5,7.4,9.0,102.8,110,240,70,360,3,0.9,1.3,5.2,8.1,7.2,0.9,7.2,0.0,1.0,2.0,7.2,0.0,1.0,1.0,0.5,1.4,8.9,12.7,0.5,2.2,23.2,26.8,1.7,1.0,2.0,3.0,1.3,0.2,1.8,3.0,1.0,2.5,29.3,37.0,1.0,2.2,24.3,30.4,7.0,0.0,5.0,9.0,0.5,3.3,28.2,44.5,0.5,4.1,26.5,41.2,0.6,2.2,13.3,18.3,1.8,3.8,4.9,11.5,1.8,3.8,4.9,10.0,1.9,2.0,2.0,5.5,1.3,1.3,7.1,1.7,1.7,31.3,21.3,0.0,0.0,0.0,7.4,0.0,2.0,2.0,7.4,7.5,0.0,1.0,1.0,6.8,1.2,4.0,1.8,4.0,40.9,1.2,340303,2021,3.8440680936246965
