,postal_code,Distance GP,Within 1 km GP,Within 3 km GP,Within 5 km GP,Distance Hospital,Within 5 km Hospital,Within 10 km Hospital,Within 20 km Hospital,Distance Supermarket,Within 1 km Supermarket,Within 3 km Supermarket,Within 5 km Supermarket,Distance Department Store,Within 5 km Department Store,Within 10 km Department Store,Within 20 km Department Store,Distance Restaurant,Within 1 km Restaurant,Within 3 km Restaurant,Within 5 km Restaurant,Distance Day Care,Within 1 km Day Care,Within 3 km Day Care,Within 5 km Day Care,Distance School,Within 1 km School,Within 3 km School,Within 5 km School
0,340101,0.4,2.0,2.0,3.2,5.9,0.0,2.0,4.0,0.3,2.0,5.0,6.5,0.5,1.0,2.0,9.2,0.1,19.2,22.0,30.9,0.9,0.7,11.0,22.8,0.9,1.1,7.0,13.1
1,340102,0.9,0.8,2.0,4.2,5.8,0.0,2.0,4.0,0.7,1.6,4.8,8.8,1.5,1.2,2.4,8.1,0.6,7.7,22.0,40.2,0.5,2.0,10.7,23.5,0.7,1.5,6.8,12.9
2,340201,0.4,1.2,8.5,14.4,0.8,1.0,2.0,4.0,0.3,8.0,16.0,25.3,0.6,1.0,3.0,7.0,0.2,44.5,84.5,105.9,0.7,3.1,45.7,94.5,0.7,1.5,24.5,41.7
3,340202,1.2,0.6,4.9,13.7,1.9,1.0,2.0,3.6,0.8,1.1,13.3,23.7,1.9,1.0,3.0,8.3,0.5,5.8,59.6,99.2,0.4,4.0,34.6,80.5,0.6,1.8,16.1,38.0
4,340203,1.6,0.0,4.1,10.0,3.3,1.0,2.0,3.6,0.5,1.0,5.2,22.0,3.2,1.9,3.0,8.8,1.1,0.7,16.5,90.2,0.4,4.7,29.6,68.2,0.5,2.1,12.1,32.2
5,340204,0.7,0.8,5.6,13.6,2.3,1.0,2.0,3.0,0.6,1.0,13.4,26.8,2.3,2.0,3.0,8.0,0.7,1.9,57.5,106.9,0.3,6.3,36.4,80.6,0.4,3.5,15.4,38.5
6,340205,0.9,0.8,5.9,14.1,2.3,1.0,2.0,3.0,0.6,1.5,14.2,27.7,2.5,2.0,3.0,6.2,0.6,2.4,60.9,109.3,0.4,2.8,36.3,83.4,0.8,1.1,16.8,40.7
7,340301,1.0,0.5,6.2,11.0,5.9,0.0,1.0,2.0,0.2,5.0,10.2,16.4,0.5,1.0,2.0,3.0,0.3,10.1,25.7,39.9,0.3,4.0,31.7,61.5,0.8,2.0,14.1,26.3
8,340302,0.7,1.5,4.3,7.3,7.9,0.0,1.0,2.0,0.8,1.1,8.5,11.3,2.5,1.0,2.0,3.0,0.8,4.1,22.5,27.6,0.6,3.2,24.9,37.6,0.7,1.3,10.4,16.2
9,340303,0.9,1.3,5.2,8.1,7.2,0.0,1.0,2.0,0.5,1.4,8.9,12.7,1.7,1.0,2.0,3.0,1.0,2.2,24.3,30.4,0.5,3.3,28.2,44.5,0.6,2.2,13.3,18.3
